ID,Shopify Name,Sawadeekard Name,Before,Change,After
012/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	012/091	Camerupt	[Fire]	[U - Uncommon]	(Non-Foil),Camerupt [Fire] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
012/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	012/091	Camerupt	[Fire]	[U - Uncommon]	(Reverse Holo),Camerupt [Fire] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
013/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	013/091	Heat Rotom	[Fire]	[R - Rare]	(Foil),Heat Rotom [Fire] [R - Rare] (Foil),0.5,0.0,0.5
013/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	013/091	Heat Rotom	[Fire]	[R - Rare]	(Reverse Holo),Heat Rotom [Fire] [R - Rare] (Reverse Holo),1.0,0.0,1.0
014/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	014/091	Charcadet	[Fire]	[C - Common]	(Non-Foil),Charcadet [Fire] [C - Common] (Non-Foil),0.5,0.0,0.5
014/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	014/091	Charcadet	[Fire]	[C - Common]	(Reverse Holo),Charcadet [Fire] [C - Common] (Reverse Holo),1.0,0.0,1.0
015/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	015/091	Armarouge	[Fire]	[R - Rare]	(Foil),Armarouge [Fire] [R - Rare] (Foil),0.5,0.0,0.5
015/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	015/091	Armarouge	[Fire]	[R - Rare]	(Reverse Holo),Armarouge [Fire] [R - Rare] (Reverse Holo),1.0,0.0,1.0
016/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	016/091	Lapras	[Water]	[C - Common]	(Non-Foil),Lapras [Water] [C - Common] (Non-Foil),0.5,0.0,0.5
016/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	016/091	Lapras	[Water]	[C - Common]	(Reverse Holo),Lapras [Water] [C - Common] (Reverse Holo),1.0,0.0,1.0
017/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	017/091	Frigibax	[Water]	[C - Common]	(Non-Foil),Frigibax [Water] [C - Common] (Non-Foil),0.5,0.09999999999999998,0.6
017/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	017/091	Frigibax	[Water]	[C - Common]	(Reverse Holo),Frigibax [Water] [C - Common] (Reverse Holo),1.0,0.0,1.0
018/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	018/091	Pikachu	[Lightning]	[C - Common]	(Non-Foil),Pikachu [Lightning] [C - Common] (Non-Foil),0.5,0.0,0.5
018/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	018/091	Pikachu	[Lightning]	[C - Common]	(Reverse Holo),Pikachu [Lightning] [C - Common] (Reverse Holo),2.0,-1.0,1.0
019/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	019/091	Raichu	[Lightning]	[R - Rare]	(Foil),Raichu [Lightning] [R - Rare] (Foil),1.0,-0.5,0.5
019/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	019/091	Raichu	[Lightning]	[R - Rare]	(Reverse Holo),Raichu [Lightning] [R - Rare] (Reverse Holo),1.8,-0.8,1.0
020/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	020/091	Chinchou	[Lightning]	[C - Common]	(Non-Foil),Chinchou [Lightning] [C - Common] (Non-Foil),0.5,0.0,0.5
020/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	020/091	Chinchou	[Lightning]	[C - Common]	(Reverse Holo),Chinchou [Lightning] [C - Common] (Reverse Holo),1.0,0.0,1.0
021/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	021/091	Lanturn	[Lightning]	[U - Uncommon]	(Non-Foil),Lanturn [Lightning] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
021/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	021/091	Lanturn	[Lightning]	[U - Uncommon]	(Reverse Holo),Lanturn [Lightning] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
022/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	022/091	Kilowattrel	[Lightning]	[U - Uncommon]	(Non-Foil),Kilowattrel [Lightning] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
022/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	022/091	Kilowattrel	[Lightning]	[U - Uncommon]	(Reverse Holo),Kilowattrel [Lightning] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
023/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	023/091	Exeggcute	[Psychic]	[C - Common]	(Non-Foil),Exeggcute [Psychic] [C - Common] (Non-Foil),0.5,0.0,0.5
023/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	023/091	Exeggcute	[Psychic]	[C - Common]	(Reverse Holo),Exeggcute [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
024/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	024/091	Exeggutor	[Psychic]	[R - Rare]	(Foil),Exeggutor [Psychic] [R - Rare] (Foil),0.5,0.0,0.5
024/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	024/091	Exeggutor	[Psychic]	[R - Rare]	(Reverse Holo),Exeggutor [Psychic] [R - Rare] (Reverse Holo),1.0,0.0,1.0
025/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	025/091	Natu	[Psychic]	[C - Common]	(Non-Foil),Natu [Psychic] [C - Common] (Non-Foil),0.5,0.0,0.5
025/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	025/091	Natu	[Psychic]	[C - Common]	(Reverse Holo),Natu [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
026/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	026/091	Xatu	[Psychic]	[R - Rare]	(Foil),Xatu [Psychic] [R - Rare] (Foil),0.5,0.7,1.2
026/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	026/091	Xatu	[Psychic]	[R - Rare]	(Reverse Holo),Xatu [Psychic] [R - Rare] (Reverse Holo),1.0,0.0,1.0
027/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	027/091	Ralts	[Psychic]	[C - Common]	(Non-Foil),Ralts [Psychic] [C - Common] (Non-Foil),0.5,0.0,0.5
027/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	027/091	Ralts	[Psychic]	[C - Common]	(Reverse Holo),Ralts [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
028/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	028/091	Kirlia	[Psychic]	[U - Uncommon]	(Non-Foil),Kirlia [Psychic] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
028/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	028/091	Kirlia	[Psychic]	[U - Uncommon]	(Reverse Holo),Kirlia [Psychic] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
029/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	029/091	Gardevoir ex	[Psychic]	[RR - Double Rare]	(Foil),Gardevoir ex [Psychic] [RR - Double Rare] (Foil),0.5,1.5,2.0
030/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	030/091	Chimecho	[Psychic]	[C - Common]	(Non-Foil),Chimecho [Psychic] [C - Common] (Non-Foil),0.5,0.0,0.5
030/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	030/091	Chimecho	[Psychic]	[C - Common]	(Reverse Holo),Chimecho [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
031/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	031/091	Mime Jr.	[Psychic]	[C - Common]	(Non-Foil),Mime Jr. [Psychic] [C - Common] (Non-Foil),0.5,0.0,0.5
031/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	031/091	Mime Jr.	[Psychic]	[C - Common]	(Reverse Holo),Mime Jr. [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
032/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	032/091	Woobat	[Psychic]	[C - Common]	(Non-Foil),Woobat [Psychic] [C - Common] (Non-Foil),0.5,0.0,0.5
032/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	032/091	Woobat	[Psychic]	[C - Common]	(Reverse Holo),Woobat [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
033/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	033/091	Swoobat	[Psychic]	[U - Uncommon]	(Non-Foil),Swoobat [Psychic] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
033/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	033/091	Swoobat	[Psychic]	[U - Uncommon]	(Reverse Holo),Swoobat [Psychic] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
034/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	034/091	Cottonee	[Psychic]	[C - Common]	(Non-Foil),Cottonee [Psychic] [C - Common] (Non-Foil),0.5,0.0,0.5
034/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	034/091	Cottonee	[Psychic]	[C - Common]	(Reverse Holo),Cottonee [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
035/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	035/091	Whimsicott	[Psychic]	[U - Uncommon]	(Non-Foil),Whimsicott [Psychic] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
035/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	035/091	Whimsicott	[Psychic]	[U - Uncommon]	(Reverse Holo),Whimsicott [Psychic] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
036/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	036/091	Dedenne	[Psychic]	[C - Common]	(Non-Foil),Dedenne [Psychic] [C - Common] (Non-Foil),0.8,-0.30000000000000004,0.5
036/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	036/091	Dedenne	[Psychic]	[C - Common]	(Reverse Holo),Dedenne [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
037/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	037/091	Mimikyu	[Psychic]	[R - Rare]	(Foil),Mimikyu [Psychic] [R - Rare] (Foil),0.8,-0.30000000000000004,0.5
037/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	037/091	Mimikyu	[Psychic]	[R - Rare]	(Reverse Holo),Mimikyu [Psychic] [R - Rare] (Reverse Holo),1.0,0.0,1.0
038/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	038/091	Fidough	[Psychic]	[C - Common]	(Non-Foil),Fidough [Psychic] [C - Common] (Non-Foil),0.5,0.0,0.5
038/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	038/091	Fidough	[Psychic]	[C - Common]	(Reverse Holo),Fidough [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
039/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	039/091	Dachsbun	[Psychic]	[U - Uncommon]	(Non-Foil),Dachsbun [Psychic] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
039/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	039/091	Dachsbun	[Psychic]	[U - Uncommon]	(Reverse Holo),Dachsbun [Psychic] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
040/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	040/091	Ceruledge	[Psychic]	[R - Rare]	(Foil),Ceruledge [Psychic] [R - Rare] (Foil),0.5,0.0,0.5
040/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	040/091	Ceruledge	[Psychic]	[R - Rare]	(Reverse Holo),Ceruledge [Psychic] [R - Rare] (Reverse Holo),1.0,0.0,1.0
041/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	041/091	Flittle	[Psychic]	[C - Common]	(Non-Foil),Flittle [Psychic] [C - Common] (Non-Foil),0.5,0.0,0.5
041/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	041/091	Flittle	[Psychic]	[C - Common]	(Reverse Holo),Flittle [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
042/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	042/091	Greavard	[Psychic]	[C - Common]	(Non-Foil),Greavard [Psychic] [C - Common] (Non-Foil),0.5,0.0,0.5
042/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	042/091	Greavard	[Psychic]	[C - Common]	(Reverse Holo),Greavard [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
043/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	043/091	Houndstone	[Psychic]	[R - Rare]	(Foil),Houndstone [Psychic] [R - Rare] (Foil),0.5,0.0,0.5
043/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	043/091	Houndstone	[Psychic]	[R - Rare]	(Reverse Holo),Houndstone [Psychic] [R - Rare] (Reverse Holo),1.0,0.0,1.0
044/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	044/091	Gimmighoul	[Psychic]	[C - Common]	(Non-Foil),Gimmighoul [Psychic] [C - Common] (Non-Foil),0.5,0.0,0.5
044/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	044/091	Gimmighoul	[Psychic]	[C - Common]	(Reverse Holo),Gimmighoul [Psychic] [C - Common] (Reverse Holo),1.0,0.0,1.0
045/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	045/091	Mankey	[Fighting]	[C - Common]	(Non-Foil),Mankey [Fighting] [C - Common] (Non-Foil),0.5,0.0,0.5
045/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	045/091	Mankey	[Fighting]	[C - Common]	(Reverse Holo),Mankey [Fighting] [C - Common] (Reverse Holo),1.0,0.0,1.0
046/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	046/091	Primeape	[Fighting]	[U - Uncommon]	(Non-Foil),Primeape [Fighting] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
046/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	046/091	Primeape	[Fighting]	[U - Uncommon]	(Reverse Holo),Primeape [Fighting] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
047/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	047/091	Annihilape	[Fighting]	[R - Rare]	(Foil),Annihilape [Fighting] [R - Rare] (Foil),0.5,0.0,0.5
047/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	047/091	Annihilape	[Fighting]	[R - Rare]	(Reverse Holo),Annihilape [Fighting] [R - Rare] (Reverse Holo),1.0,0.0,1.0
048/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	048/091	Phanpy	[Fighting]	[C - Common]	(Non-Foil),Phanpy [Fighting] [C - Common] (Non-Foil),0.5,0.0,0.5
048/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	048/091	Phanpy	[Fighting]	[C - Common]	(Reverse Holo),Phanpy [Fighting] [C - Common] (Reverse Holo),1.0,0.0,1.0
049/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	049/091	Donphan	[Fighting]	[U - Uncommon]	(Non-Foil),Donphan [Fighting] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
049/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	049/091	Donphan	[Fighting]	[U - Uncommon]	(Reverse Holo),Donphan [Fighting] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
050/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	050/091	Barboach	[Fighting]	[C - Common]	(Non-Foil),Barboach [Fighting] [C - Common] (Non-Foil),0.5,0.0,0.5
050/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	050/091	Barboach	[Fighting]	[C - Common]	(Reverse Holo),Barboach [Fighting] [C - Common] (Reverse Holo),1.0,0.0,1.0
051/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	051/091	Clobbopus	[Fighting]	[C - Common]	(Non-Foil),Clobbopus [Fighting] [C - Common] (Non-Foil),0.5,0.0,0.5
051/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	051/091	Clobbopus	[Fighting]	[C - Common]	(Reverse Holo),Clobbopus [Fighting] [C - Common] (Reverse Holo),1.0,0.0,1.0
052/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	052/091	Grapploct	[Fighting]	[U - Uncommon]	(Non-Foil),Grapploct [Fighting] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
052/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	052/091	Grapploct	[Fighting]	[U - Uncommon]	(Reverse Holo),Grapploct [Fighting] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
053/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	053/091	Great Tusk ex	[Fighting]	[RR - Double Rare]	(Foil),Great Tusk ex [Fighting] [RR - Double Rare] (Foil),0.5,1.5,2.0
054/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	054/091	Charizard ex	[Darkness]	[RR - Double Rare]	(Foil),Charizard ex [Darkness] [RR - Double Rare] (Foil),0.5,5.4,5.9
055/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	055/091	Gastly	[Darkness]	[C - Common]	(Non-Foil),Gastly [Darkness] [C - Common] (Non-Foil),0.6,0.0,0.6
055/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	055/091	Gastly	[Darkness]	[C - Common]	(Reverse Holo),Gastly [Darkness] [C - Common] (Reverse Holo),1.0,0.0,1.0
056/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	056/091	Haunter	[Darkness]	[C - Common]	(Non-Foil),Haunter [Darkness] [C - Common] (Non-Foil),0.6,-0.09999999999999998,0.5
056/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	056/091	Haunter	[Darkness]	[C - Common]	(Reverse Holo),Haunter [Darkness] [C - Common] (Reverse Holo),1.0,0.0,1.0
057/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	057/091	Gengar	[Darkness]	[U - Uncommon]	(Non-Foil),Gengar [Darkness] [U - Uncommon] (Non-Foil),0.8,-0.30000000000000004,0.5
057/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	057/091	Gengar	[Darkness]	[U - Uncommon]	(Reverse Holo),Gengar [Darkness] [U - Uncommon] (Reverse Holo),1.0,0.3999999999999999,1.4
058/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	058/091	Paldean Wooper	[Darkness]	[C - Common]	(Non-Foil),Paldean Wooper [Darkness] [C - Common] (Non-Foil),0.5,0.0,0.5
058/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	058/091	Paldean Wooper	[Darkness]	[C - Common]	(Reverse Holo),Paldean Wooper [Darkness] [C - Common] (Reverse Holo),1.0,0.0,1.0
059/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	059/091	Paldean Clodsire ex	[Darkness]	[RR - Double Rare]	(Foil),Paldean Clodsire ex [Darkness] [RR - Double Rare] (Foil),0.5,1.5,2.0
060/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	060/091	Scraggy	[Darkness]	[C - Common]	(Non-Foil),Scraggy [Darkness] [C - Common] (Non-Foil),0.5,0.0,0.5
060/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	060/091	Scraggy	[Darkness]	[C - Common]	(Reverse Holo),Scraggy [Darkness] [C - Common] (Reverse Holo),1.0,0.0,1.0
061/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	061/091	Scrafty	[Darkness]	[U - Uncommon]	(Non-Foil),Scrafty [Darkness] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
061/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	061/091	Scrafty	[Darkness]	[U - Uncommon]	(Reverse Holo),Scrafty [Darkness] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
062/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	062/091	Maschiff	[Darkness]	[C - Common]	(Non-Foil),Maschiff [Darkness] [C - Common] (Non-Foil),0.5,0.0,0.5
062/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	062/091	Maschiff	[Darkness]	[C - Common]	(Reverse Holo),Maschiff [Darkness] [C - Common] (Reverse Holo),1.0,0.0,1.0
063/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	063/091	Mabosstiff	[Darkness]	[R - Rare]	(Foil),Mabosstiff [Darkness] [R - Rare] (Foil),0.5,0.0,0.5
063/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	063/091	Mabosstiff	[Darkness]	[R - Rare]	(Reverse Holo),Mabosstiff [Darkness] [R - Rare] (Reverse Holo),1.0,0.0,1.0
064/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	064/091	Varoom	[Metal]	[C - Common]	(Non-Foil),Varoom [Metal] [C - Common] (Non-Foil),0.5,0.0,0.5
064/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	064/091	Varoom	[Metal]	[C - Common]	(Reverse Holo),Varoom [Metal] [C - Common] (Reverse Holo),1.0,0.0,1.0
065/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	065/091	Revavroom	[Metal]	[R - Rare]	(Foil),Revavroom [Metal] [R - Rare] (Foil),0.5,0.09999999999999998,0.6
065/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	065/091	Revavroom	[Metal]	[R - Rare]	(Reverse Holo),Revavroom [Metal] [R - Rare] (Reverse Holo),1.0,0.0,1.0
066/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	066/091	Iron Threads ex	[Metal]	[RR - Double Rare]	(Foil),Iron Threads ex [Metal] [RR - Double Rare] (Foil),0.5,1.5,2.0
067/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	067/091	Gholdengo	[Metal]	[R - Rare]	(Foil),Gholdengo [Metal] [R - Rare] (Foil),0.5,0.0,0.5
067/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	067/091	Gholdengo	[Metal]	[R - Rare]	(Reverse Holo),Gholdengo [Metal] [R - Rare] (Reverse Holo),1.0,0.0,1.0
068/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	068/091	Noibat	[Dragon]	[C - Common]	(Non-Foil),Noibat [Dragon] [C - Common] (Non-Foil),0.5,0.0,0.5
068/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	068/091	Noibat	[Dragon]	[C - Common]	(Reverse Holo),Noibat [Dragon] [C - Common] (Reverse Holo),1.0,0.0,1.0
069/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	069/091	Noivern ex	[Dragon]	[RR - Double Rare]	(Foil),Noivern ex [Dragon] [RR - Double Rare] (Foil),0.5,1.5,2.0
070/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	070/091	Cyclizar	[Dragon]	[R - Rare]	(Foil),Cyclizar [Dragon] [R - Rare] (Foil),0.5,0.0,0.5
070/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	070/091	Cyclizar	[Dragon]	[R - Rare]	(Reverse Holo),Cyclizar [Dragon] [R - Rare] (Reverse Holo),1.0,0.0,1.0
071/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	071/091	Lechonk	[Colorless]	[C - Common]	(Non-Foil),Lechonk [Colorless] [C - Common] (Non-Foil),0.5,0.0,0.5
071/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	071/091	Lechonk	[Colorless]	[C - Common]	(Reverse Holo),Lechonk [Colorless] [C - Common] (Reverse Holo),1.0,0.0,1.0
072/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	072/091	Oinkolonge	[Colorless]	[U - Uncommon]	(Non-Foil),Oinkolonge [Colorless] [U - Uncommon] (Non-Foil),0.5,0.0,0.5
072/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	072/091	Oinkolonge	[Colorless]	[U - Uncommon]	(Reverse Holo),Oinkolonge [Colorless] [U - Uncommon] (Reverse Holo),1.0,0.0,1.0
073/091,[ENG]	Pokemon	SV4.5	Paldean Fates:	073/091	Tandemaus	[Colorless]	[C - Common]	(Non-Foil),Tandemaus [Colorless] [C - Common] (Non-Foil),0.5,0.0,0.5
